법정동코드,법정동명,폐지여부
2772032032,대구광역시 군위군 효령면 화계리,존재
2772032033,대구광역시 군위군 효령면 마시리,존재
2772032034,대구광역시 군위군 효령면 매곡리,존재
2772032035,대구광역시 군위군 효령면 고곡리,존재
2772033000,대구광역시 군위군 부계면,존재
2772033021,대구광역시 군위군 부계면 창평리,존재
2772033022,대구광역시 군위군 부계면 가호리,존재
2772033023,대구광역시 군위군 부계면 춘산리,존재
2772033024,대구광역시 군위군 부계면 대율리,존재
2772033025,대구광역시 군위군 부계면 동산리,존재
2772033026,대구광역시 군위군 부계면 남산리,존재
2772033027,대구광역시 군위군 부계면 명산리,존재
2772033028,대구광역시 군위군 부계면 신화리,존재
2772034000,대구광역시 군위군 우보면,존재
2772034021,대구광역시 군위군 우보면 나호리,존재
2772034022,대구광역시 군위군 우보면 이화리,존재
2772034023,대구광역시 군위군 우보면 두북리,존재
2772034024,대구광역시 군위군 우보면 선곡리,존재
2772034025,대구광역시 군위군 우보면 미성리,존재
2772034026,대구광역시 군위군 우보면 모산리,존재
2772034027,대구광역시 군위군 우보면 문덕리,존재
2772034028,대구광역시 군위군 우보면 달산리,존재
2772034029,대구광역시 군위군 우보면 봉산리,존재
2772035000,대구광역시 군위군 의흥면,존재
2772035021,대구광역시 군위군 의흥면 읍내리,존재
2772035022,대구광역시 군위군 의흥면 수북리,존재
2772035023,대구광역시 군위군 의흥면 수서리,존재
2772035024,대구광역시 군위군 의흥면 이지리,존재
2772035025,대구광역시 군위군 의흥면 파전리,존재
2772035026,대구광역시 군위군 의흥면 신덕리,존재
2772035027,대구광역시 군위군 의흥면 지호리,존재
2772035028,대구광역시 군위군 의흥면 연계리,존재
2772035029,대구광역시 군위군 의흥면 매성리,존재
2772035030,대구광역시 군위군 의흥면 원산리,존재
2772035031,대구광역시 군위군 의흥면 금양리,존재
2772036000,대구광역시 군위군 산성면,존재
2772036021,대구광역시 군위군 산성면 백학리,존재
2772036022,대구광역시 군위군 산성면 삼산리,존재
2772036023,대구광역시 군위군 산성면 봉림리,존재
2772036024,대구광역시 군위군 산성면 무암리,존재
2772036025,대구광역시 군위군 산성면 운산리,존재
2772036026,대구광역시 군위군 산성면 화본리,존재
2772036027,대구광역시 군위군 산성면 화전리,존재
2772037000,대구광역시 군위군 삼국유사면,존재
