sido,kaptCode,kaptName,addr_jibun,bjdCode,office
대구광역시,A70175804,안심화성타운,대구광역시 동구 신기동,2714011700,동대구지사
대구광역시,A70176306,대구안심3,대구광역시 동구 신기동,2714011700,동대구지사
대구광역시,A10026031,대구율하 율하숲,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A10027808,율하롯데캐슬탑클래스,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70122004,율하휴먼시아6단지,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70122005,율하휴먼시아5단지,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70122007,율하센트럴파크8단지,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70173310,대구안심4,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176107,율하센트럴파크9단지,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176108,율하리버파크,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176109,대구안심1,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176110,SM안아주아파트,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176111,율하휴먼시아15단지,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176112,율하휴먼시아10단지,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176113,율하리버파크뷰,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176114,e편한세상세계육상선수촌2단지,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176115,이편한세상 세계육상선수촌,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176116,율하우방아이유쉘,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70176201,율하뜨란채,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A70183702,율하휴먼시아7단지,대구광역시 동구 율하동,2714011800,동대구지사
대구광역시,A10021704,백자맨션,대구광역시 동구 용계동,2714011900,동대구지사
대구광역시,A10022940,용계역푸르지오아츠베르1단지,대구광역시 동구 용계동,2714011900,동대구지사
대구광역시,A10022960,용계역푸르지오아츠베르2단지,대구광역시 동구 용계동,2714011900,동대구지사
대구광역시,A10024851,율하시티프라디움,대구광역시 동구 용계동,2714011900,동대구지사
대구광역시,A10027740,율하역엘크루,대구광역시 동구 용계동,2714011900,동대구지사
대구광역시,A70183502,강변동서마을,대구광역시 동구 용계동,2714011900,동대구지사
대구광역시,A10022471,안심청아람더영,대구광역시 동구 율암동,2714012000,동대구지사
대구광역시,A10023263,대구파라곤프레스티지,대구광역시 동구 율암동,2714012000,동대구지사
대구광역시,A10023433,호반써밋이스텔라,대구광역시 동구 율암동,2714012000,동대구지사
대구광역시,A10023668,대구안심뉴타운시티프라디움,대구광역시 동구 율암동,2714012000,동대구지사
대구광역시,A10022550,테스트,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A10025249,한국감정원,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A10025250,한국감정원,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A10026218,각산서한이다음,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A10026770,대구혁신LH4단지,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A10027688,대구혁신LH천년나무6단지,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A10027892,대구혁신도시 서한이다음 2차,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A10028087,대구혁신도시서한이다음,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A50010008,부동산원테스트2,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A70129002,안심효성타운,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A70129003,각산푸르지오1단지,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A70129004,각산푸르지오2단지,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A70171001,각산태영데시앙,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A70171002,대구혁신 에듀포레,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A70171003,대구혁신LH천년나무3단지,대구광역시 동구 각산동,2714012300,동대구지사
대구광역시,A10022552,테스트단지,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A10023093,각산역더뉴클래스,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A10023096,각산역더뉴클래스 3차,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A10027934,각산역 더뉴클래스2차,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130003,신서퀸덤,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130004,대경넥스빌,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130005,신서그린빌,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130006,신서동신일해피트리,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130007,동화해오름타운,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130008,신서롯데캐슬레전드,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130009,아름다운나날1단지,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130010,아름다운나날2단지,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70130011,아름다운나날3단지,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70172201,신서화성파크드림,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A70175902,신서청구타운,대구광역시 동구 신서동,2714012400,동대구지사
대구광역시,A10024050,안심역삼정그린코아더베스트,대구광역시 동구 괴전동,2714012600,동대구지사
대구광역시,A10026330,안심역서원프레시빌,대구광역시 동구 괴전동,2714012600,동대구지사
대구광역시,A10026668,안심역코오롱하늘채,대구광역시 동구 괴전동,2714012600,동대구지사
대구광역시,A10027548,안심역 우방아이유쉘,대구광역시 동구 괴전동,2714012600,동대구지사
대구광역시,A10026423,대구혁신센텀힐즈,대구광역시 동구 대림동,2714012800,동대구지사
대구광역시,A10027513,대구혁신도시서한이다음3차,대구광역시 동구 대림동,2714012800,동대구지사
대구광역시,A10024945,혁신서한e스테이,대구광역시 동구 사복동,2714012900,동대구지사
대구광역시,A10027215,대구신서혁신LH천년나무10단지,대구광역시 동구 사복동,2714012900,동대구지사
대구광역시,A10027663,대구혁신LH이노힐즈 아파트,대구광역시 동구 사복동,2714012900,동대구지사
대구광역시,A10027296,대구신서혁신LH천년나무14단지,대구광역시 동구 숙천동,2714013000,동대구지사
대구광역시,A10027299,대구신서혁신 LH천년나무13단지,대구광역시 동구 숙천동,2714013000,동대구지사
